admin_id_old,admin_id_new,code,rule,provenance
AF-NR-KA,AF-NR-KAM,KAM,name,cc0
AF-NR-MA,AF-NR-MAN,MAN,name,cc0
AF-NR-NU,AF-NR-NUR,NUR,name,spine
AF-NR-WG,AF-NR-WAY,WAY,name,spine
AF-NR-WM,AF-NR-WAM,WAM,name,cc0
AF-OZ-CH,AF-OZ-CHO,CHO,name,cc0
AF-OZ-DI,AF-OZ-DIH,DIH,name,spine
AF-OZ-KU,AF-OZ-KHU,KHU,compound,cc0
AF-OZ-NE,AF-OZ-NES,NES,name,spine
AF-OZ-SH,AF-OZ-SHH,SHH,compound,cc0
AF-OZ-TK,AF-OZ-TIK,TIK,compound,spine
AF-PJ-HI,AF-PJ-HI,HI,compound.alt,spine
AF-PJ-HS,AF-PJ-HS,HS,any2,spine
AF-PJ-PA,AF-PJ-PA,PA,name,spine
AF-PK-BU,AF-PK-BUR,BUR,name,spine
AF-PK-DI,AF-PK-DIL,DIL,name,cc0
AF-PK-GA,AF-PK-GAY,GAY,name,cc0
AF-PK-GO,AF-PK-GOM,GOM,name,cc0
AF-PK-MK,AF-PK-MAK,MAK,compound,cc0
AF-PK-NI,AF-PK-NIK,NIK,name,cc0
AF-PK-OM,AF-PK-OMN,OMN,name,cc0
AF-PK-SH,AF-PK-SAH,SAH,compound,cc0
AF-PK-SN,AF-PK-SHA,SHA,name,cc0
AF-PK-SR,AF-PK-SAR,SAR,name,spine
AF-PK-UR,AF-PK-URG,URG,name,cc0
AF-PK-WA,AF-PK-WAK,WAK,compound,cc0
AF-PK-WO,AF-PK-WOL,WOL,name,spine
AF-PK-ZI,AF-PK-ZIL,ZIL,name,spine
AF-PK-ZS,AF-PK-ZAS,ZAS,compound,spine
AF-PT-AZ,AF-PT-AZR,AZR,name,spine
AF-PT-CH,AF-PT-CHA,CHA,name,spine
AF-PT-DP,AF-PT-DAP,DAP,initials,cc0
AF-PT-GA,AF-PT-GAR,GAR,name,cc0
AF-PT-JD,AF-PT-JAD,JAD,name,spine
AF-PT-JJ,AF-PT-JAJ,JAJ,name,spine
AF-PT-JK,AF-PT-JAN,JAN,name,cc0
