pattern,regex,complexity,active
Dx-Sx[ ]-Dx([- ]Dx),^([0-9]+)-([0-9A-Z]+) *-([0-9]+)(?:[- ]([0-9]+))?$,4,1
Sx -D5,^([0-9A-Z]+) *-([0-9]{5})$,4,1
Sx D5( D2),^([0-9A-Z]+) *([0-9]{5})(?: ([0-9]{2}))?$,4,1
S4E[ D]2[A]?0?[ D]5( D2),"^([0-9A-Z]{4}E)([0-9 ]{2}[A-Z]{0,2})0{0,2}([0-9 ]{5})(?: ([0-9]{2}))?$",4,1
D2[ D]2S2? [ D]4,"^([0-9]{2,3})([0-9 ]{2})([A-Z0]{2})? ([0-9 ]{4})$",4,1
D6 D6 D4( D2),^([0-9]{6}) ([0-9]{6}) ([0-9]{4})(?: ([0-9]{2}))?,4,1
A4 M:Sx( B:Sx)( L:Sx)( [SUP]:(Sx))2,^[A-Z]{4} M:([0-9A-Z.-]+)(?: B:([0-9A-Z.+&/#-]+))?(?: L:([0-9A-Z.+&/#-]+))?(?: [SUP]:([0-9A-Z.-]+))$,3,1
M:Sx B:Sx( L:Sx)(X:[ ]Sx),^M:([0-9A-Z]+) B:([0-9A-Z]+)(?: L:([0-9A-Z]+))?(?: X:([0-9A-Z]+))?$,1,1
Dx-Dx-Dx-Dx-Dx,^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)$,1,1
M:Sx( B:Sx)( L:(Sx)),^M:([0-9A-Z]+)(?: B:([0-9A-Z]+))?(?: L:([0-9A-Z.-]+)?)?$,1,1
M:Sx( B:Sx) L:Sx-Sx,^M:([0-9]+)(?: B:([0-9A-Z]+))?(?: L:([0-9A-Z]+))-([0-9A-Z]+)$,1,1
Sx/Sx/Sx,^([0-9A-Z]+)/([0-9A-Z-=]+)/([0-9A-Z]+)$,1,1
M:(A1)Dx  B:Dx  L:Sx,^M:([A-Z])?([0-9]+) + B:([0-9]+) + L:([0-9A-Z-.=]+)$,1,1
Dx_Sx[- ]Sx,^([0-9]+)_([0-9A-Z]+)[- ]([0-9A-Z-. ]+)$,1,1
Dx_Sx Ssx,^([0-9]+)_([0-9A-Z]+) ([A-Za-z0-9-]+)$,2,1
Sx  Sx,"^([0-9A-Z]{3,4})  ([A-Z0-9]+)?$",1,1
Sx(*)Sx(*)Sx(*),"^([0-9A-Z]{3,4})\*?([0-9A-Z]{3,4})\*?([0-9A-Z]{3,4})\*?$",1,1
Sx(-)Dx,^([0-9A-Z]+)-?([0-9]+)?$,1,1
Sx( )(Sx)( )(Sx) ( )(Sx),^([0-9A-Z]+) ?([0-9A-Z&-]+)? ?([0-9A-Z]+)?  ?([0-9A-Z]+)?$,1,1
Sx#Sx,^([0-9A-Z]+)#([0-9A-Z&-]+)$,1,1
Sx-Sx_Sx-Sx,^([0-9A-Z]+)-([0-9A-Z.-]+)_([0-9A-Z]+)-([0-9A-Z.-]+)$,1,1
Sx-( )(Sx) ( )(Sx)( )(Dx),^([0-9A-Z]+)- ?([0-9A-Z-]+)?  ?([0-9A-Z-]+)? ?([0-9-])?$,1,1
Sx-Sx  ( )Dx,^([0-9A-Z]+)-([0-9A-Z.]+)   ?([0-9-]+)$,1,1
Sx/Dx,^([0-9A-Z]+)/([0-9]+)$,1,1
